kind,coordinate,target,prepared,auxiliary
entropy,0.0,1.0,1.0,1.0
entropy,0.05,0.951229424500714,0.9496695953316623,0.9499359798391251
entropy,0.1,0.9048374180359595,0.9018037080531824,0.9023293026936514
entropy,0.15000000000000002,0.8607079764250578,0.8562819232032747,0.8570556086491102
entropy,0.2,0.8187307530779818,0.8129896527918626,0.8139990957541686
entropy,0.25,0.7788007830714049,0.7718179096640226,0.7730508248829867
entropy,0.30000000000000004,0.7408182206817179,0.7326630378536909,0.7341049173054692
entropy,0.35000000000000003,0.7046880897187134,0.6954264939472667,0.6970665888697221
entropy,0.4,0.6703200460356393,0.6600146043681583,0.6618379515821258
entropy,0.45,0.6376281516217733,0.6263383597112651,0.6283355817518123
entropy,0.5,0.6065306597126334,0.5943131047524135,0.5964701004747439
entropy,0.55,0.5769498103804866,0.5638584145159445,0.5661633653277489
entropy,0.6000000000000001,0.5488116360940264,0.5348979172676536,0.5373432560796015
entropy,0.65,0.522045776761016,0.5073589309546985,0.5099306219795763
entropy,0.7000000000000001,0.49658530379140947,0.481172384781337,0.4838594190477838
entropy,0.75,0.4723665527410147,0.4562725903861701,0.4590697281280108
entropy,0.8,0.44932896411722156,0.4325971495652957,0.43549240038562576
entropy,0.8500000000000001,0.42741493194872665,0.41008672702919896,0.41306869057616846
entropy,0.9,0.4065696597405991,0.38868491304466835,0.39174566452330234
entropy,0.9500000000000001,0.3867410234545012,0.36833803090416145,0.37147435496399345
entropy,1.0,0.36787944117144233,0.34899494712097096,0.3521954718396406
entropy,1.05,0.3499377491111553,0.3306070884169367,0.3338619720809896
entropy,1.1,0.33287108369807955,0.3131283084003776,0.31643037520935613
entropy,1.1500000000000001,0.31663676937905316,0.2965147253116202,0.2998627344178131
entropy,1.2000000000000002,0.301194211912202,0.2807244738585091,0.284111131227467
entropy,1.25,0.2865047968601901,0.2657176758881352,0.269133786451808
entropy,1.3,0.2725317930340126,0.25145645248084075,0.2548947606470327
entropy,1.35,0.2592402606458915,0.23790478232497594,0.24136073623755036
entropy,1.4000000000000001,0.24659696394160643,0.22502844347899037,0.22850344454432353
entropy,1.4500000000000002,0.2345702880937976,0.2127947521044342,0.21628267878220375
entropy,1.5,0.22313016014842982,0.20117256115345805,0.2046657682457103
harmonic,-12.0,1.0574944507167044e-07,1.8848010241453827e-07,0.04500000000000001
harmonic,-11.8,4.38535521827473e-07,4.890959591039721e-07,0.04351250000000001
harmonic,-11.6,1.045475504572878e-06,1.0163486702064434e-06,0.04205000000000001
harmonic,-11.4,2.008758773067463e-06,1.839153244878968e-06,0.04061250000000001
harmonic,-11.2,3.4530235516431803e-06,3.063794096694256e-06,0.039200000000000006
harmonic,-11.0,5.55678700178429e-06,4.848693638328816e-06,0.037812500000000006
harmonic,-10.8,8.568431760611655e-06,7.41544780030478e-06,0.03645000000000001
harmonic,-10.6,1.2827527822854986e-05,1.1067743658584527e-05,0.035112500000000005
harmonic,-10.4,1.879250846724276e-05,1.6217914325137924e-05,0.03380000000000001
harmonic,-10.2,2.7075931310413896e-05,2.3420635822155898e-05,0.03251250000000001
harmonic,-10.0,3.848873909508814e-05,3.341528201163962e-05,0.03125000000000001
harmonic,-9.8,5.409507995693998e-05,4.7178748828101463e-05,0.03001250000000001
harmonic,-9.6,7.527933714884132e-05,6.599051069532871e-05,0.028800000000000006
harmonic,-9.4,0.00010382703079316954,9.151169725563104e-05,0.02761250000000001
harmonic,-9.2,0.00014202116101797032,0.00012587994553001644,0.02645
harmonic,-9.0,0.0001927553303142597,0.00017182158593370296,0.025312500000000005
harmonic,-8.8,0.0002596645779094484,0.0002327823597352074,0.02420000000000001
harmonic,-8.6,0.00034727424472816477,0.0003130772933981274,0.0231125
harmonic,-8.4,0.0004611663310801278,0.000418059516176404,0.022050000000000004
harmonic,-8.2,0.0006081616840613707,0.000554306705409585,0.021012500000000003
harmonic,-8.0,0.0007965149424106613,0.0007298224185204558,0.020000000000000004
harmonic,-7.8,0.0010361174742061529,0.0009542478492171811,0.0190125
harmonic,-7.6,0.0013387015901155578,0.0012390775225624945,0.018050000000000004
harmonic,-7.3999999999999995,0.001718037151834047,0.0015978701698637456,0.0171125
harmonic,-7.199999999999999,0.0021901094034127494,0.002046443581029053,0.0162
harmonic,-7.0,0.002773264548701569,0.002603039748749859,0.015312500000000003
harmonic,-6.8,0.003488307433069325,0.003288444201421085,0.014450000000000001
harmonic,-6.6,0.0043585338475300595,0.004126041365961218,0.013612500000000001
harmonic,-6.3999999999999995,0.005409678672022314,0.0051417860964499615,0.0128
harmonic,-6.199999999999999,0.0066697605437966104,0.006364070919772288,0.012012499999999999
harmonic,-6.0,0.008168804212925027,0.00782346860626243,0.011250000000000003
harmonic,-5.8,0.009938423452371043,0.009552330940102367,0.010512500000000003
harmonic,-5.6,0.012011250512136312,0.011584228420809578,0.009800000000000001
harmonic,-5.3999999999999995,0.014420202774073597,0.013953218744740432,0.009112499999999999
harmonic,-5.199999999999999,0.017197583521228306,0.01669294019970104,0.00845
harmonic,-5.0,0.020374021522526833,0.01983553233799488,0.007812500000000002
harmonic,-4.8,0.023977263265710296,0.023410396767355277,0.0072000000000000015
harmonic,-4.6,0.028030841828429062,0.027442822016858784,0.0066125
harmonic,-4.3999999999999995,0.03255265710140467,0.03195250661690077,0.00605
harmonic,-4.199999999999999,0.037553512782029196,0.03695202728568718,0.005512499999999999
harmonic,-4.0,0.043035665548794094,0.04244530925116036,0.005000000000000001
harmonic,-3.799999999999999,0.048991450342476435,0.04842616570980292,0.004512499999999998
harmonic,-3.5999999999999996,0.05540205193143779,0.054876980255861615,0.00405
harmonic,-3.4000000000000004,0.06223649617212297,0.06176761010791035,0.0036125000000000016
harmonic,-3.1999999999999993,0.06945093393622323,0.0690545881475428,0.003199999999999999
harmonic,-3.0,0.07698828607067523,0.07668069774834659,0.0028125000000000008
harmonic,-2.799999999999999,0.08477830871789718,0.08457498446293038,0.0024499999999999986
harmonic,-2.5999999999999996,0.0927381248587279,0.09265325623150339,0.0021125
harmonic,-2.3999999999999986,0.10077325036622056,0.10081910214652161,0.0017999999999999984
harmonic,-2.1999999999999993,0.1087791218134742,0.10896544328478265,0.0015124999999999995
harmonic,-2.0,0.11664310971117367,0.11697659929167425,0.0012500000000000002
harmonic,-1.799999999999999,0.12424697597807145,0.12473082525521778,0.001012499999999999
harmonic,-1.5999999999999996,0.13146970969148233,0.1321032607188747,0.0007999999999999997
harmonic,-1.3999999999999986,0.1381906520608381,0.13896918413009432,0.0006124999999999989
